symbol,company,sector,headquarters,fecha_fundada
SBAC,SBA Communications,Bienes Raíces,"Boca Raton, Florida",1989
SLB,Schlumberger,Energía,"Curaçao, Kingdom of the Netherlands",1926
STX,Seagate Technology,Tecnología Informática,"Dublin, Ireland",1979
SEE,Sealed Air,Materiales,"Charlotte, North Carolina",1960
SRE,Sempra Energy,Utilidades,"San Diego, California",1998
NOW,ServiceNow,Tecnología Informática,"Santa Clara, California",2003
SHW,Sherwin-Williams,Materiales,"Cleveland, Ohio",1866
SBNY,Signature Bank,Finanzas,"New York City, New York",2001
SPG,Simon Property Group,Bienes Raíces,"Indianapolis, Indiana",2003
SWKS,Skyworks Solutions,Tecnología Informática,"Irvine, California",2002
SJM,The J.M. Smucker Company,Productos básicos,"Orrville, Ohio",1897
SNA,Snap-on,Industriales,"Kenosha, Wisconsin",1920
SEDG,SolarEdge,Tecnología Informática,"Herzliya, Israel",2006
SO,Southern Company,Utilidades,"Atlanta, Georgia",1945
LUV,Southwest Airlines,Industriales,"Dallas, Texas",1967
SWK,Stanley Black & Decker,Industriales,"New Britain, Connecticut",1843
SBUX,Starbucks,Consumo Discrecional,"Seattle, Washington",1971
STT,State Street Corporation,Finanzas,"Boston, Massachusetts",1792
STLD,Steel Dynamics,Materiales,"Fort Wayne, Indiana",1993
STE,Steris,Cuidado de Salud,"Dublin, Ireland",1985
SYK,Stryker Corporation,Cuidado de Salud,"Kalamazoo, Michigan",1941
SIVB,SVB Financial,Finanzas,"Santa Clara, California",1983
SYF,Synchrony Financial,Finanzas,"Stamford, Connecticut",2003
SNPS,Synopsys,Tecnología Informática,"Mountain View, California",1986
SYY,Sysco,Productos básicos,"Houston, Texas",1969
TMUS,T-Mobile US,Servicios de Comunicación,"Bellevue, Washington",1994
TROW,T. Rowe Price,Finanzas,"Baltimore, Maryland",1937
TTWO,Take-Two Interactive,Servicios de Comunicación,"New York City, New York",1993
TPR,"Tapestry, Inc.",Consumo Discrecional,"New York City, New York",2017
TRGP,Targa Resources,Energía,"Houston, Texas",2005
TGT,Target Corporation,Consumo Discrecional,"Minneapolis, Minnesota",1902
TEL,TE Connectivity,Tecnología Informática,"Schaffhausen, Switzerland",2007
TDY,Teledyne Technologies,Tecnología Informática,"Thousand Oaks, California",1960
TFX,Teleflex,Cuidado de Salud,"Wayne, Pennsylvania",1943
TER,Teradyne,Tecnología Informática,"North Reading, Massachusetts",1960
TSLA,"Tesla, Inc.",Consumo Discrecional,"Austin, Texas",2003
TXN,Texas Instruments,Tecnología Informática,"Dallas, Texas",1930
TXT,Textron,Industriales,"Providence, Rhode Island",1923
TMO,Thermo Fisher Scientific,Cuidado de Salud,"Waltham, Massachusetts",2006 (1902)
TJX,TJX Companies,Consumo Discrecional,"Framingham, Massachusetts",1987
TSCO,Tractor Supply,Consumo Discrecional,"Brentwood, Tennessee",1938
TT,Trane Technologies,Industriales,"Dublin, Ireland",1871
TDG,TransDigm Group,Industriales,"Cleveland, Ohio",1993
TRV,The Travelers Companies,Finanzas,"New York City, New York",1853
TRMB,Trimble Inc.,Tecnología Informática,"Westminster, Colorado",1978
TFC,Truist,Finanzas,"Charlotte, North Carolina",1872
TYL,Tyler Technologies,Tecnología Informática,"Plano, Texas",1966
TSN,Tyson Foods,Productos básicos,"Springdale, Arkansas",1935
USB,U.S. Bank,Finanzas,"Minneapolis, Minnesota",1968
UDR,"UDR, Inc.",Bienes Raíces,"Highlands Ranch, Colorado",1972
ULTA,Ulta Beauty,Consumo Discrecional,"Bolingbrook, Illinois",1990
UNP,Union Pacific Corporation,Industriales,"Omaha, Nebraska",1862
UAL,United Airlines Holdings,Industriales,"Chicago, Illinois",1967
UPS,United Parcel Service,Industriales,"Sandy Springs, Georgia",1907
URI,United Rentals,Industriales,"Stamford, Connecticut",1997
UNH,UnitedHealth Group,Cuidado de Salud,"Minnetonka, Minnesota",1977
UHS,Universal Health Services,Cuidado de Salud,"King of Prussia, Pennsylvania",1979
VLO,Valero Energy,Energía,"San Antonio, Texas",1980
VTR,Ventas,Bienes Raíces,"Chicago, Illinois",1998
VRSN,Verisign,Tecnología Informática,"Dulles, Virginia",1995
VRSK,Verisk,Industriales,"Jersey City, New Jersey",1971
VZ,Verizon,Servicios de Comunicación,"New York City, New York",1983 (1877)
VRTX,Vertex Pharmaceuticals,Cuidado de Salud,"Cambridge, Massachusetts",1989
VFC,VF Corporation,Consumo Discrecional,"Denver, Colorado",1899
VTRS,Viatris,Cuidado de Salud,"Pittsburgh, Pennsylvania",1961
VICI,Vici Properties,Bienes Raíces,"New York City, New York",2017
V,Visa Inc.,Tecnología Informática,"San Francisco, California",1958
VMC,Vulcan Materials Company,Materiales,"Birmingham, Alabama",1909
WAB,Wabtec,Industriales,"Pittsburgh, Pennsylvania",1999 (1869)
WBA,Walgreens Boots Alliance,Productos básicos,"Deerfield, Illinois",2014
WMT,Walmart,Productos básicos,"Bentonville, Arkansas",1962
WBD,Warner Bros. Discovery,Servicios de Comunicación,"New York City, New York",2022
WM,Waste Management,Industriales,"Houston, Texas",1968
WAT,Waters Corporation,Cuidado de Salud,"Milford, Massachusetts",1958
WEC,WEC Energy Group,Utilidades,"Milwaukee, Wisconsin",1896
WFC,Wells Fargo,Finanzas,"San Francisco, California",1852
WELL,Welltower,Bienes Raíces,"Toledo, Ohio",1970
WST,West Pharmaceutical Services,Cuidado de Salud,"Exton, Pennsylvania",1923
WDC,Western Digital,Tecnología Informática,"San Jose, California",1970
WRK,WestRock,Materiales,"Atlanta, Georgia",2015
WY,Weyerhaeuser,Bienes Raíces,"Seattle, Washington",1900
WHR,Whirlpool Corporation,Consumo Discrecional,"Benton Harbor, Michigan",1911
WMB,Williams Companies,Energía,"Tulsa, Oklahoma",1908
WTW,Willis Towers Watson,Finanzas,"London, United Kingdom",2016
GWW,W. W. Grainger,Industriales,"Lake Forest, Illinois",1927
WYNN,Wynn Resorts,Consumo Discrecional,"Paradise, Nevada",2002
XEL,Xcel Energy,Utilidades,"Minneapolis, Minnesota",1909
XYL,Xylem Inc.,Industriales,"White Plains, New York",2011
YUM,Yum! Brands,Consumo Discrecional,"Louisville, Kentucky",1997
ZBRA,Zebra Technologies,Tecnología Informática,"Lincolnshire, Illinois",1969
ZBH,Zimmer Biomet,Cuidado de Salud,"Warsaw, Indiana",1927
ZION,Zions Bancorporation,Finanzas,"Salt Lake City, Utah",1873
ZTS,Zoetis,Cuidado de Salud,"Parsippany, New Jersey",1952
